
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
48:29:52:85:37:50, 2022-09-28 07:27:17, 2022-09-28 07:27:19,  1, 130, WPA2, CCMP, PSK, -40,        7,        6,   0.  0.  0.  0,  12, Livebox-3750, 
72:61:F4:03:9D:E7, 2022-09-28 07:27:17, 2022-09-28 07:27:18,  1, 130, OPN, ,   , -55,        2,        0,   0.  0.  0.  0,  12, SFR WiFi FON, 
D8:07:B6:7B:47:DE, 2022-09-28 07:27:17, 2022-09-28 07:27:19,  1, 270, WPA2, CCMP, PSK, -43,        6,        0,   0.  0.  0.  0,  10, GigaColloc, 
72:61:F4:03:9D:E5, 2022-09-28 07:27:17, 2022-09-28 07:27:18,  1, 130, WPA2, CCMP, MGT, -55,        2,        0,   0.  0.  0.  0,  15, SFR WiFi Mobile, 
6C:61:F4:03:9D:E6, 2022-09-28 07:27:18, 2022-09-28 07:27:18,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -56,        1,        1,   0.  0.  0.  0,   8, SFR_9DE0, 
B0:BB:E5:AB:F2:AC, 2022-09-28 07:27:18, 2022-09-28 07:27:18,  1, 130, WPA2, CCMP, PSK, -52,        4,        0,   0.  0.  0.  0,  12, Livebox-F2AC, 
FA:8F:CA:5F:03:0D, 2022-09-28 07:27:18, 2022-09-28 07:27:19,  6,  65, OPN, ,   , -26,        4,        0,   0.  0.  0.  0,  14, Google Home.o,, 
B8:EC:A3:DF:E0:23, 2022-09-28 07:27:18, 2022-09-28 07:27:21,  6, 324, WPA2, CCMP, PSK, -39,        4,        0,   0.  0.  0.  0,  11, La Meuliere, 
34:27:92:48:26:C5, 2022-09-28 07:27:19, 2022-09-28 07:27:19,  8, 195, WPA2, CCMP TKIP, MGT, -60,        1,        0,   0.  0.  0.  0,  15, FreeWifi_secure, 
B8:EC:A3:DF:E0:3B, 2022-09-28 07:27:19, 2022-09-28 07:27:19, 11, 324, WPA2, CCMP, PSK, -25,        4,        0,   0.  0.  0.  0,  11, La Meuliere, 
84:1E:A3:B3:67:C6, 2022-09-28 07:27:19, 2022-09-28 07:27:19, 11, 260, WPA2, CCMP, PSK, -54,        3,        1,   0.  0.  0.  0,  13, Bbox-A89F7C11, 
B8:EC:A3:DF:EB:ED, 2022-09-28 07:27:19, 2022-09-28 07:27:21, 11, 324, WPA2, CCMP, PSK, -33,        4,        0,   0.  0.  0.  0,  11, La Meuliere, 
84:1E:A3:F5:69:A0, 2022-09-28 07:27:19, 2022-09-28 07:27:19, 11, 130, WPA2, CCMP, PSK, -62,        0,        0,   0.  0.  0.  0,   4, HOME, 
C4:41:1E:A2:B6:EA, 2022-09-28 07:27:19, 2022-09-28 07:27:19, 13, 130, WPA2, CCMP, PSK, -37,        2,        0,   0.  0.  0.  0,  14, Meulierejardin, 
C4:41:1E:A2:B6:EB, 2022-09-28 07:27:19, 2022-09-28 07:27:19, 36, 780, WPA2, CCMP, PSK, -46,        1,        0,   0.  0.  0.  0,  16, Meulierejardin5G, 
84:1E:A3:B3:67:C7, 2022-09-28 07:27:19, 2022-09-28 07:27:19, 36, 1733, WPA2, CCMP, PSK, -74,        1,        0,   0.  0.  0.  0,  13, Bbox-A89F7C11, 
D8:07:B6:7B:47:DD, 2022-09-28 07:27:19, 2022-09-28 07:27:19, 36, 780, WPA2, CCMP, PSK, -69,        1,        0,   0.  0.  0.  0,  13, GigaColloc 5G, 
B8:EC:A3:DF:E0:24, 2022-09-28 07:27:19, 2022-09-28 07:27:19, 40, 866, WPA2, CCMP, PSK, -65,        1,        0,   0.  0.  0.  0,  11, La Meuliere, 
B8:EC:A3:DF:EB:EE, 2022-09-28 07:27:20, 2022-09-28 07:27:20, 48, 866, WPA2, CCMP, PSK, -63,        1,        0,   0.  0.  0.  0,  11, La Meuliere, 
B8:EC:A3:DF:E0:3C, 2022-09-28 07:27:20, 2022-09-28 07:27:20, 48, 866, WPA2, CCMP, PSK, -53,        1,        0,   0.  0.  0.  0,  11, La Meuliere, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:1F:12:45:33:60, 2022-09-28 07:27:20, 2022-09-28 07:27:20, -49,        3, (not associated) ,Giga Colloc

